UNITID,University Name
104151,Arizona State University
104179,University of Arizona
110404,California Institute of Technology
110635,University of California - Berkeley
110644,University of California - Davis
110653,University of California - Irvine
110662,University of California - Los Angeles
110680,University of California - San Diego
110705,University of California - Santa Barbara
123961,University of Southern California
126614,University of Colorado Boulder
130794,Yale University
134130,University of Florida
139755,Georgia Institute of Technology
144050,University of Chicago
145637,University of Illinois at Urbana-Champaign
147767,Northwestern University
152080,University of Notre Dame - USA
162928,Johns Hopkins University
163286,University of Maryland - College Park
164988,Boston University
166027,Harvard University
166629,University of Massachusetts - Amherst
166683,Massachusetts Institute of Technology
170976,University of Michigan
174066,University of Minnesota - Twin Cities
179867,Washington University - St. Louis
182670,Dartmouth College
186131,Princeton University
186380,Rutgers - State University of New Jersey - New Brunswick
190150,Columbia University
190415,Cornell University
193900,New York University
194824,Rensselaer Polytechnic Institute
195030,University of Rochester
196097,State University of New York - Stony Brook
198419,Duke University
199120,University of North Carolina - Chapel Hill
199193,North Carolina State University
204796,Ohio State University
211440,Carnegie Mellon University
214777,Pennsylvania State University
215062,University of Pennsylvania
215293,University of Pittsburgh
217156,Brown University
227757,Rice University
228723,Texas A&M University
228778,University of Texas - Austin
230764,University of Utah
233921,Virginia Polytechnic Institute and State University
234076,University of Virginia
236948,University of Washington
240444,University of Wisconsin - Madison
243744,Stanford University
243780,Purdue University
